KB Number,Title,Audience,KB Category (ServiceNow),Covers master ticket,Mapping confidence,Search text,Notes
KB0025525,This team member has unbilled charges error on Customer Portal,L1,Customer Portal (MyRegus),,Unmapped,"This team member has unbilled charges error on Customer Portal Application / Service Customer Portal Details If the client is getting an error message ""This team member has unbilled charges"", while they try to remove any contact. Kindly check these 2 conditions in Titan - 1) If the client has any pending balance in their account. 2) If any active booking is made on that contact name If any of these conditions are matching, then it is working as designed. The client should first pay their due balance so that they can be removed from the company. Or they will have to reach out to Booking Correction Team to change the contact of their Booking. Additional Information Booking Correction or Update KB article-KB0037164",
KB0029341,Unable to delete one-off services on Teamhub,L1,Team Hub,,Unmapped,Unable to delete one-off services on Teamhub One-off services can only be deleted within the same day of adding. These one-off services cannot be removed afterwards.,
KB0032428,Unable to find a company and check it in in the business lounge on Team Hub,End User,Process Enquiry,,Unmapped,"Unable to find a company and check it in in the business lounge on Team Hub Please follow the below given instructions to check the issue when Not able to find a company and check it in in the business lounge Correct steps to find a company and check it into business lounge: Go to Center section Select the Centre clicking here: Select the centre Once selected click in ""Receive a visitor"" Click in ""Lounge"" Click in ""+Add"" under the page: Type the name of the company in the search bar and select it. Please use the Global Search to find a membership",
KB0020209,Community Meeting Room is not showing up  on Customer Portal,L1,Customer Portal (MyRegus),,Unmapped,"Community Meeting Room is not showing up on Customer Portal Application / Service Customer Portal Description If the option of Community Meeting Room is not showing up on the client's account on Customer Portal application then please follow these steps to check if the center has an option for CMR by following these steps Instructions First thing to check is if the account has an active Long Term Office in the Centre they are trying to make CMR. If not, CMR button will not be visible. 1) Ensure that the customer Office Type is not Membership, Validate it on Titan 2) Ensure that Meeting room inventory is a Community Meeting Room and ""Can Book on Website"" is selected. If not, ask user to contact Global.Inventory@regus.com 3) If settings are ok in Titan and Office check inventory availability on Centre Calendar: CMR can be booking only for todays date and not in the future . Note: Before the steps above t he following should be done if the customer claims that CMR tile is not showed on the Customer Portal: Navigate to Customer Portal - Production environment Login in Staff mode Search for provided Company/Account ID Open the Company/Contact with the issue Verify if the CMR tile is sho",
KB0038540,Centre not shown in mobile app but shown on browser version,L1,Customer Portal (MyRegus),,Unmapped,"Centre not shown in mobile app but shown on browser version Application / Service Customer Portal Details Customer reports that Centre is visible on Browser but they cannot see it on MyRegus mobile app. Check Centre admin on Titan UI, ""Can book on website"" has to be flagged in order for the Centre to be visible on the app. In case it is not, it will not be possible to find the Centre in the app. The reason why it shows on the website is that staff can see these Centres even if they are not web-bookable. There is no staff mode on the app. Additional Information",
KB0027872,Short Stay bookings show price of 0.01 even if the visit should be free,L1,Team Hub,,Unmapped,"Short Stay bookings show price of 0.01 even if the visit should be free Application / Service TeamHub Details In cases where users claim that the price of the booking is 1 or 0.01 like in the case below: This is working as designed. Lounge day pass amount cannot be set as 0. Minimum price is 0.01 or in places that do not use decimal pricing 1. If there is a message ""This is a free visit"" the visit will be free of charge. This can be confirmed by Total Price field as well since the price there will be 0. Additional Information",
KB0028943,How to resolve INT-AR-033/Error code: 6-,L2,Dynamics F&O,,Unmapped,How to resolve INT-AR-033/Error code: 6-,
KB0029237,Centre Team Guide: Handling Customer Portal Queries with Aurora,Customer Support,Central Applications,,Unmapped,"Centre Team Guide: Handling Customer Portal Queries with Aurora Business Rule All Customer Portal enquiries must go through Aurora Chat Assist first. Centre teams only assist directly where this guide explicitly permits it. Purpose This guide helps Centre Teams decide: When to direct customers to Aurora When Centre Teams can provide direct support When to raise an IT Application case Benefits: faster resolution, correct routing, fewer duplicate tickets, consistent handling. Mandatory Rules Aurora is the first point of support for all Customer Portal enquiries. Customers must submit their own requests/issues via the Customer Portal Help section. Centre teams must NOT submit Customer Portal requests/issues on behalf of customers. Do NOT use TeamHub or IWGenie for standard Customer Portal requests or issues. Only raise IT Application cases after all required troubleshooting is complete. Only perform Centre Team actions listed in this guide. Quick Decision Matrix Customer Issue Aurora Customer Help Request Centre Team IT Payment ✓ ✓ Invoice ✓ ✓ Billing ✓ ✓ Renewal ✓ ✓ Add Team Member ✓ ✓ Remove Team Member ✓ ✓ Booking Issue ✓ ✓ Facility Issue ✓ Wi-Fi Troubleshoot If unresolved Printing",
KB0028900,Enhancement of the VO and Membership UI/UX Journey on the Mobile and Web App,L1,Customer Portal (MyRegus),,Unmapped,Enhancement of the VO and Membership UI/UX Journey on the Mobile and Web App BS-13370: Enhance the VO and Membership UI/UX Journey on the Mobile App Virtual Office Journey - Upgrade Membership Journey - BS-13364: Enhance the VO and Membership UI/UX Journey on the WebApp Virtual Office Journey - Upgrade Membership Journey -,
KB0032423,How to Search by Membership ID on Team Hub,End User,Process Enquiry,,Unmapped,"How to Search by Membership ID on Team Hub In order to Test search by Membership ID which is actually your card number (16 digits= company reference + contact reference) Use the card number to search for membership ID, follow the steps: Login to Team Hub Navigate to Center section Select receive a visitor option Select Lounge Click on Add icon Select Global search tab Enter the Card number created (e.g. 1234567887654321) Verify user is displayed in Search results",
KB0020961,Provisioning,L1,Customer Portal (MyRegus),,Unmapped,"Provisioning 1.1 Provisioning Tickets related to Provisioning failure of Call Answering services are created as a CUSTOMER PORTAL issue in ServiceNow. IT Helpdesk can perform the first troubleshooting to understand or even solve the issue. However, in case the issue cannot be solved by them, an MST ticket will be raised so that the Application Team can review it. Possible issues and actions: Scenario Process Explanation Action Onboarding for new account fails If no welcome email is sent to customer or phone number is assigned Community team request via Teamhub -> ServiceNow ticket generated -> Central team adds service in Teamhub -> Proton communicates to Ooma -> Proton sends email to customer -> customer can see in CP At same time Ooma assigns phone number and feeds back to Proton and to CP Confirm status in Customer Portal – service, welcome email and phone number Is the status ok? Yes - feedback to customer and close ticket. No - go to step 3. Ticket should be passed onto Proton level 2 Note: If picked up by proactive monitoring by Proton they should triage 1.1 Change to call answering company and contacts information Tickets related to changes in company or contacts failure of",
KB0029922,Frequently Asked Questions on Team Hub Functionalities,End User,Process Enquiry,,Unmapped,"Frequently Asked Questions on Team Hub Functionalities Q: Will Regus be able to see my texts, photos and other personal details? A: Regus will never have access to the personal data on your phone. The app will allow Regus to only access basic details about your phone such as Model and Serial Number, Operating System, Owner and Device Name, and Phone number. Q: Will Regus track my location? A: Regus will be able to track your device only when it is near a Regus location. It will not be tracking your location 24/7. Q: My phone says that I don't have enough space to install the apps. What do I do? A: You can always delete any apps that you may no longer need, transfer photos to your computer or cloud storage, or delete old text messages to free up some space. Q: When I am installing InTune on my iPhone, I get this screen and pop-up. Does this mean that Regus can take over my phone and change all of my settings and the app shouldn't be trusted? A: No, absolutely not! InTune is an app created by Microsoft, and TeamHub is created by IWG. Both apps follow all standards and can be trusted. The app can only collect basic details about your phone such as Model and Serial Number, Operating Sy",
KB0029371,Customer Account Management Support Guide: Using Aurora for Account Queries,Centre Support,Aurora,,Unmapped,"Customer Account Management Support Guide: Using Aurora for Account Queries Customer Account Query Support Process As part of our ongoing improvements to customer support, we are updating how customer account queries are managed. These changes are designed to simplify processes, improve response consistency, and ensure customers receive specialist support from the right team dedicated to resolving their concerns efficiently. How do customers get help with their account? Customers will now receive support for account-related queries directly from the Customer Account Management Team. Customers should use Aurora as their first step for any account-related question. Aurora can: Answer many customer questions immediately Guide customers through their online account and portal Help customers raise a support case when additional assistance is required If Aurora cannot direct the customer to the correct area of the online portal or resolve their query, it will assist them in raising a help case. These cases are sent directly to the Customer Account Management Team, ensuring customers receive quicker, specialist support without requiring centres to manage these queries. What should I do if",
KB0027036,How to escalate an IT case to an Incident for Application issues,L1,Service Desk SOP,,Unmapped,"How to escalate an IT case to an Incident for Application issues Application / Service Case Mangement Description Incident creation process from an IT case Instructions Kindly follow the below steps 1.To create an IT Incident, firstly we will need to collect all the information from the IT case, like Company ID, email address, screenshots and any issue specific information and then update it in work notes. Make sure to select the correct Affected Service of the case. As highlighted below, we will have the information at the bottom of the IT case, in IWGenie Chat history 2.Updating the information on work notes - Firstly, identify if that case falls into any master ticket or can be created as stand-alone MST. Write down the name of the master if applicable Note down the Company ID and email address of the client, if it is a client issue. For staff issue, information such as Email address and center number should be written in work notes. If the issue is related to Booking, retainers or agreements, include booking reference in work notes. If the issue is related to Invoices, invoice number should be included. If the issue is related to Membership, membership number should be included",
KB0028944,How to resolve INT-AR-033/Error code: 8-,L2,Dynamics F&O,,Unmapped,How to resolve INT-AR-033/Error code: 8-,
KB0020840,User cannot see the monthly invoice e-mails in Documents ＆ emails section on TeamHub,L1,Team Hub,,Unmapped,"User cannot see the monthly invoice e-mails in Documents ＆ emails section on TeamHub Issue: User cannot see the monthly invoice e-mails in Documents &#xff06;emails section on Team Hub. User can only see that the Initial invoices are sent on Team Hub, but after that there is nothing users can check about the monthly invoices. Root Cause: Titan do NOT store monthly invoices in the eFile since there would be too much information This is working as designed.",
KB0028874,Discussion link missing from Amend Agreement page,L1,Team Hub,,Unmapped,"Discussion link missing from Amend Agreement page If the link for raising a discussion ticket is missing from the Amend Agreement page, please check if all 3 tiers of pricing are visible to the user. Per TH design if all 3 pricing lists are visible, link will not be shown.",
KB0020750,Set the particular value to Current SOA Balance.,L1,Titan,,Unmapped,Set the particular value to Current SOA Balance. Application / Service Titan Details How to check/do that in UI: Example Company ID 8392090 Setting a different value for the Current SOA Balance can be done either by AHD or GSC by the following steps provided with the screenshots. Search for the required company. Open the Edit mode by clicking the pencil icon. Switch to the Financial tab. Enter the required value into the Current balance of SOA is: field. See the notification displayed Click the Correct button to apply the changes See the results applied Whom to refer to do: GSC/AHD. Usually it is under the Titan user with GSC Sr. Billing Coordinator role assigned. GSC - https://support.iwgplc.com/sp?id&#61;sc_cat_item&sys_id&#61;b84626e687788190a310baaabbbb35b0&sysparm_category&#61;e8723e45870b0150ed48620c8bbb3564 AHD - https://support.iwgplc.com/sp?sys_kb_id&#61;0b92a3db87c50150ed48620c8bbb35ab&id&#61;kb_article_view&sysparm_rank&#61;1&sysparm_tsqueryId&#61;f2c0c8171b424590ba5febd4604bcb8d,
KB0020889,How can I amend or delete vacations requests in Team Hub that I have submitted incorrectly?,L1,Team Hub,,Unmapped,"How can I amend or delete vacations requests in Team Hub that I have submitted incorrectly? Issue: I need to cancel my holiday request but can't see any action button to do this in Team hub Solution: Please contact your Line Manager who can update the vacation leave entry. From PeopleSoft, the line manager should go into the approved vacation request and change the status from Approved to Not Approved . This adds the days back into the employee’s balance and also leaves the request for reference. If the employee is amending the filed days – for example taking 3 days instead of 5, then the line manager should change the request to Awaiting for Approval so that the employee (or manager) can amend the request before re-approving. Please have your line manager follow the Manager Self-service Guide for Vacation and Absence Management for more detailed steps.",
KB0028765,Decline message from Payment Provider,Customer Support,Payments,,Unmapped,Decline message from Payment Provider,EMPTY BODY in source export
KB0027525,Customer Portal | How to contact Account Helpdesk Team,L1,Customer Portal (MyRegus),,Unmapped,Customer Portal | How to contact Account Helpdesk Team Kindly follow the below procedure to contact Account Helpdesk Team: 1. Open the account for which you require assistance in MyRegus Portal 2. Click on Help section in the online portal: 3. Click on Get Help:,
KB0020888,Unable to Terminate Service (Weekly Mail Forwarding) on a specific date in Team Hub,L1,Team Hub,,Unmapped,"Unable to Terminate Service (Weekly Mail Forwarding) on a specific date in Team Hub User is trying to end service on a specific date but it's not allowing him since the service price changed. Solution: First set the unit price as its minimum value required by the System , total price should not be changed. Then, set the end date to “Last billed date“. Example :",
KB0020864,User not getting Printing and Photocopies discount in Team Hub,L1,Team Hub,,Unmapped,User not getting Printing and Photocopies discount in Team Hub No discount applied on Printing and photocopies Reason : “Cannot be discounted” flag on Titan needs to be enabled in order to apply volume offer discount. Solution : User must reach out to Titan Admins and request them to enable “Cannot be discounted” flag Titan Admin email “ GSC.TitanSupport&#64;regus.com “ Link to raise a ticket: https://iwgprod.service-now.com/sp?id&#61;sc_cat_item&sys_id&#61;075f5a0b87ccc950ed48620c8bbb35b8&sysparm_category&#61;9bdfd40287cf7410a310baaabbbb35c0,
KB0024502,How to map a user to a worker in D365FO,L1,Dynamics F&O,,Unmapped,"How to map a user to a worker in D365FO Application / Service Dynamics F&O Description This is for a request to map a user to a worker in D365FO. Instructions 1. On the Navigation pane, select System administration module and expand Users . 2. Click Users . The Users form will be displayed. 3. Click the name on the User ID column to open User details . 4. In the HR resources module, expand Workers and open Workers form. This where the details provided by the user will be validated in the Workers form - such as First name, Last name, Personnel number, and employee start date and other details. 5. Go back to the Users form in the System administration module and select the user's name in the Person field. The record in the User name field should match the name in the Person field similar to what was validated in the Workers form. Additional Information (optional) 1. Pre-requisite: The user is an active user in D365FO and completed KB0023694 - How to create and grant access to a new user in D365FO. 2. For single user request, the worker will be the same as user; while for bulk user request, need the user and worker mapping details for importing (see attached template).",
KB0023765,How to edit a user in D365FO,L1,Dynamics F&O,,Unmapped,"How to edit a user in D365FO Application / Service Dynamics F&O Description This is for a request to edit a user's information or to edit the role that is assigned to a user in D365FO. Instructions 1. After the ticket has been raised and approval has been attached, go to D365FO application. Note: Approval is dependent on the type of roles (Reference: KB0023694 - How to create and grant access to a new user in D365FO) . 2. On the Navigation pane, select System administration module and expand Users . 3. Click Users . The Users form will be displayed. 4. Click the name on the User ID column to open User details and User's roles sections. 5. Edit the user's information. User details section - the section of the form where user's information can be edited such as username, email address, company, etc. Note: Changing Enabled button to Yes is to activate; and No to deactivate. Refer to another KB on how-to-deactivate a user. User's roles section - the section of the form where user's roles can be edited or added. Note: Click Assign roles, if this is the request, and select the appropriate role. 6. Save and close the form.",
KB0024688,How To Check Rejection Reason For Credit Card_INGENICO,L1,Customer Portal (MyRegus),,Unmapped,How To Check Rejection Reason For Credit Card_INGENICO Application / Service Customer Portal | Payment Service Provider (PSP) Portal for Ingenico / Global Collect / Worldline Description This article can be used to check the following issues for the specific payment provider: 1. Unable to make card payment. 2. Unable to add card. 3. Autopayment not working. IMPORTANT NOTE FOR L1 : Here is the summary of the general/common errors obtained and what can be done next by L1 team based on the error/rejection reason identified in the PSP Portal. ERROR MESSAGE STEPS L1 CAN DO Insufficient Funds L1 can share the error message to the requester Authorization amount has already been depleted L1 to advise to contact their bank / redirect users to contact GSC for further assistance Exceeds Approval Amount Limit L1 can share the error message to the requester Fraud/Security L1 to advise to contact their bank / redirect users to contact GSC for further assistance Invalid or expired card; contact cardholder to update L1 can share the error message to the requester Incremented auth exceeds max transaction amount L1 can share the error message to the requester Pickup card - Other than Lost/Stolen L1,
KB0025567,Why the Payment failure Email was not sent to the client?,L1,Customer Portal (MyRegus),,Unmapped,"Why the Payment failure Email was not sent to the client? Application / Service Customer Portal Details Why the payment failure Email was not sent to the client? Invoice autopayment process contains pre-validation and payment processing phase at PSP. Pre-validation phase is where we check if all conditions are satisfied prior to making payment request to PSP. Some of pre-validations conditions are: Center’s config must have payment provider set Payment amount is greater than 0 Client’s payment card is not deleted Client’s payment card is not expired etc In case than any of these is violated, we abort the request preparation, return the response but we do not send failure email. Payment failure email will be sent in case that all pre-validations pass and something goes wrong during the processing of payment phase itself at PSP. Additional Information Please check in the client's Titan and Myregus account, if any of these conditions are matching or not - Center configuration can be checked under Titan> Admin> System Admin Payment amount can be checked in Invoice section on Titan and myregus Client credit card deletion emails, credit card expiry emails can be checked in Titan> Clients",
KB0029476,Membership not being applied to booking due to Membership Tier not configured not configured for that Center,L1,Customer Portal (MyRegus),,Unmapped,"Membership not being applied to booking due to Membership Tier not configured not configured for that Center If a Company has a Membership, Membership contains the ""regional"" classification and the customer is complaining the Membership does not get applied or was not applied to a Booking and they got Charged. On Titan, please check the Center on which they are either attempting to Book or have already Booked and got Charged. On the ""Center Admin"" screen, select the Center and scroll down to the ""Membership Region section"". If the Center does not contain the ""regional"" tier for their Country, the Membership cannot be applied to that Center and this is working as designed. Please check if the Center has the Membership tier first.",
KB0033058,Credit Card Expiry Not Updating After Making Changes,Customer Support,Payments,,Unmapped,"Credit Card Expiry Not Updating After Making Changes Expired card not being updated on Customer Portal - three scenarios - The customer needs to change only EXP date. When CC is expiring and readding the same card with new expiration date does not work (card is readded with same expiration date) we need to use Edit card feature so it triggers token refresh at payment provider. This can be done through web or app. If it still isn't working for either web or app please send us screenshots what happens when customer tries to edit card and we will continue investigating the issue. Advise the client to click on EDIT: Then the month and year of the new expiry date should be selected from the drop-down menu: Then click on UPDATE. An expired Payment Card should be updated with a new expiry date. 2 . The customer needs to change EXP date and CVV. In this case, the client must delete the Payment card from MyRegus and add it again by entering the new EXP date and new CVV. If the Payment card was the Default Payment method, it is necessary to add a completely new card and set it as the Default Payment method. After the new card is added as Default Payment method, delete original payment card.",
KB0037159,How do I request an early termination for an agreement or a booking,Customer Support,Accounts & Companies,,Unmapped,"How do I request an early termination for an agreement or a booking Summary This article guides centre teams through the process of requesting an early termination of a customer agreement via Teamhub. Purpose To help centre teams support customers who need to end their agreement before the scheduled end date, using the proper Teamhub process and escalation paths. 1. Self-Help First Review the agreement terms with the customer. Confirm customer approval and eligibility for early termination. Validate the effective termination date. Refer to the Agreement Process Guide before proceeding. 2. IWG Academy Links Agreement Process Guide - IWG Academy GSC Escalation Process - IWG Academy 3. How to Raise a Ticket Teamhub Option: Go to: Teamhub > Company > Amend Agreement > Request to Early Terminate 4. What You Can Request Early termination of an agreement or booking Support with failed termination requests Clarification of early termination rules 5. After You Submit GSC will review and confirm the termination. If more information is needed, they will reach out. No additional tickets are required unless advised.",
KB0023767,How to deactivate a user in D365FO,L1,Dynamics F&O,,Unmapped,"How to deactivate a user in D365FO Application / Service Dynamics F&O Description This is for a request to deactivate or disable a user in D365FO. Instructions 1. After the ticket has been raised and approval has been attached (if the process requires it), go to D365FO application. 3. Click Users . The Users form will be displayed. 4. Click the name on the User ID column to open User details and User's roles sections. 5. On the header of the Users form, click Edit option. The form will be opened for editing. 6. Toggle the Enabled button to NO. 7. Click Save . Additional Information (optional) 1. Approval to deactivate depends on the company/support process. i.e., via the Quarterly Access Review activity or a request is raised in SNOW portal to deactivate a super user (system administrator role). For system administrator's role, secure approval. (For updated approval matrix, refer to KB0023694 - How to create and grant access to a new user in D365FO. ) 2. On the Users form > User's roles section, changing Enabled button to Yes is to activate; and No is to deactivate.",
KB0020842,Request Early Termination - System does not allow user to select the date and continue on Team Hub,L1,Team Hub,,Unmapped,"Request Early Termination - System does not allow user to select the date and continue on Team Hub Client processed termination effective end of may 2023. User Marrylene Nabor rolled back the termination by mistake . User is trying to raise an early termination task to amend the rolled agreement to be terminated effective 31st of may 2023 and credit issued june invoice, however the system does not allow us to select the date and continue. Solution: This is for Booking Correction. User will have to go through Help section of Team Hub to raise a ticket for Booking correction team via path: Home > All Catalogs > IWG One Help Desk > Customer Operations > Billing > Account Maintenance-Booking Correction",
KB0028945,How to resolve INT-AR-033/Error code: 9-,L2,Dynamics F&O,,Unmapped,How to resolve INT-AR-033/Error code: 9-,
KB0032948,Unable to open Help section on Team Hub,End User,Ticket Viewing and Access,,Unmapped,"Unable to open Help section on Team Hub Issue When clicking the Help button in TeamHub, the system redirects you to a screen that shows you are logged out. Cause This happens when the user does not have access to ServiceNow, which is required for the Help section to load correctly. Resolution You will need to request access or report the issue. Raise a support ticket via IWG Genie. Search for or select ServiceNow Issue as the topic. Submit the request so IT can restore your ServiceNow access.",
KB0021058,Missing Retainer tab on Customer Portal,L1,Customer Portal (MyRegus),[Retainers] Retainer issues,Medium,Missing Retainer tab on Customer Portal If the Retainer tab is missing in the client's account on Customer Portal Example Screenshot - if case is raised with Missing Retainer tab in CP and user did not provide balance from Finance. L1 tells them to raise ticket with GSC as GSC needs to do these balance checkups and CP L1 resolves snow ticket if case is raised with Missing Retainer tab in CP and user provided balance from Finance L1 proceeds with investigation and create MST if needed. For a workaround they can fill manual retainer form and submit it to Account Helpdesk. Link - https://regusgroupservices.sharepoint.com/sites/intranet/docs/_layouts/15/Doc.aspx?sourcedoc=%7B8AAB6665-7B93-4F66-8631-DC8F912F9CA6%7D&file=Retainer%20Refund%20Request.xlsx&action=default&mobileredirect=true&DefaultItemOpen=1,
KB0037193,How can customers request for an overpayment refund,Customer Support,Payments,,Unmapped,How can customers request for an overpayment refund Summary : This article guides users for queries on how to return a credit balance on a customer account. Purpose : This article provides the the guide for assisting customers with overpayment refund request. Instructions : Centre team to follow the guide how to handle customer refund queries via IWG Academy Link .,
KB0024569,Teamhub | Required Information for Applications Team,L1,Team Hub,,Unmapped,Teamhub | Required Information for Applications Team Application / Service Teamhub Details The following details are required based on the type of issue or request in TEAMHUB. ADDING / EDITING SERVICES Titan Company Reference / Account Number: &bull; Company Name: &bull; Centre No: &bull; Booking Reference: &bull; Screenshots of the issue in Team Hub: &bull; Steps taken that lead to the error: &bull; Version of TH: INCORRECT OR MISSING COMPANY DETAILS Titan Company Reference / Account Number: &bull; Company Name: &bull; Centre No: &bull; Booking Reference: &bull; Screenshots of the issue in Team Hub: &bull; Steps taken that lead to the error: &bull; Version of TH: APP PERFORMANCE Version of TH &bull; Steps taken that lead to the error &bull; Screenshot of the issue in Teamhub AMENDING AN AGREEMENT Titan Company Reference / Account Number: &bull; Company Name: &bull; Centre No: &bull; Booking Reference: &bull; Screenshots of the issue in Team Hub: &bull; Steps taken that lead to the error: &bull; Version of TH: INSTALLING THE APP Version of TH &bull; Steps taken that lead to the error &bull; Screenshot of the issue in Teamhub UPDATING THE APP Version of TH &bull; Steps taken that le,
KB0020666,Unable to remove Signage Service and getting price increase in Team Hub,L1,Team Hub,,Unmapped,"Unable to remove Signage Service and getting price increase in Team Hub Application / Service TeamHub Details Service has a FIXED Price configured in Titan Service cannot be deleted due to Titan property ""Cannot Remove in R-Zone"" is enabled In order to remove the service, please reach out to Titan admins Link to raise a ticket: https://iwgprod.service-now.com/sp?id=sc_cat_item&sys_id=075f5a0b87ccc950ed48620c8bbb35b8&sysparm_category=9bdfd40287cf7410a310baaabbbb35c0",
KB0020893,Activation of IWG Cards for Centre Teams (GSC Support),L1,Customer Portal (MyRegus),,Unmapped,"Activation of IWG Cards for Centre Teams (GSC Support) GSC team will receive requests from Centre Teams regarding the activation of IWG Cards for Centre Teams and increase of IWG Cards coffee limit for customers or Centre Teams in the SNOW queue called GSC IWG CARD. 1.1 Requests 1.1.1 IWG Cards Activation / Deactivation When the activation / deactivation of Centre Teams IWG Cards in Nayax portal is requested, GSC team must first check if the card is created in Nayax portal. NOTE: GSC team must only activate / deactivate IWG Cards (and not fobs) belonging to Centre Teams. Cards that belong to customers must be activated / deactivated by themselves in their online account. In order to check if a card is created in Nayax portal, enter the country operator from the centre specified in the ticket, access Consumers > Card Management menu and search for the card number. If the card is created, a result will be displayed and its status will be shown in the card details. The status can be changed by selecting the dropdown: Ticket requests IWG Card activation and the card is already created: select status “Active” Ticket requests IWG Card deactivation and the card is already created: select",
KB0020886,Unable to see Client documents and emails in Team Hub,L1,Team Hub,,Unmapped,"Unable to see Client documents and emails in Team Hub Users are not getting “Client’s documents and emails“ in the Documents and Email section. Solution : Users must click on Filter button to see all the filter options, select ‘All Centers’ and ‘All files’ for categories and press Apply button.",
KB0029380,Download link is no longer available when copied from CRM case description,L1,Customer Portal (MyRegus),,Unmapped,"Download link is no longer available when copied from CRM case description Download link is no longer available when copied from CRM case description Issue Users may report that a file download link copied from a CRM case description is no longer available or does not work when pasted into a browser. Example symptom: ""When users copy and paste the link from the description, it is no longer available."" Expected behavior The download link is intended for single use only. In production, the link currently expires after 1 month. Because of this, the link may stop working if: it has already been accessed once; the redirected download URL was copied/shared and reused later; the link is older than 1 month; the same token/link is opened multiple times. This is expected behavior and does not always indicate an API issue. Important technical note During the flow, the API first checks Azure Table Storage to confirm whether the download token has already been used. If Azure Table returns 404, this means the token was not found as previously used. For a first-time download attempt, this is expected. After that, the API requests the downstream E-File download URL. If successful, the API returns:",
KB0025007,Titan | Contact Invoice Not Getting Invoice Emails,L2,Titan,,Unmapped,"Titan | Contact Invoice Not Getting Invoice Emails Application / Service Titan > E-mail Issue Symptoms / Error Monthly invoices are not not being sent to its invoice contact email address. Resolution 1. Specific Email Address Email address are in *@regus.com domain and we don't send emails to our own domain (ex. regus.com). They can change to *iwgplc.com domain if needed for the email address. 2. Center Setup. Go to Titan Admin -> Inventory Pricing -> Enable Invoice Emails: Setting. If it says NO , invoice emails will not be sent. Additional Information Reference tickets: MST (JIRA): MST-37313 MST (JIRA): MST-60157",
KB0025400,Basic check if the CRM booking is not free,L1,Customer Portal (MyRegus),,Unmapped,"Basic check if the CRM booking is not free Application / Service Customer Portal Issue Symptoms / Error Sometimes the customer claims that CRM booking is not for free, in that case there are some basic things that need to be checked. Resolution Navigate to Customer Portal – Production environment Login in Staff mode Search for provided Company/Account ID Open the Company/Contact with the issue Verify if the CMR tile is showed on the Home page Click on Book a Community Meeting Room tile Select select location, date and time slot Verify on the left corner down &#34;Free&#34; is displayed Note: CMR can be booked once per day for the company for no longer than 2 hours, minimum of 1 hour. If the company has another booking in a CMR for the same day and was booked as a free CMR then they will not be able to book another free slot from this option. The time slot intervals will be half hourly slots on the hour and every half hour within center opening hours excluding weekends and public holidays. Additional Information If the issue does not persist, we need to ask customer to try book CMR again in the available time slot.",
KB0024553,If the Direct Debit reflects as pending on Customer Portal,L1,Customer Portal (MyRegus),,Unmapped,"If the Direct Debit reflects as pending on Customer Portal Application / Service Customer Portal Description When a client adds a payment method on Customer Portal, they will get 2 options. Credit Card and Direct Debit. If they are adding the Direct Debit on their account for autopayment, they will have to wait for some time until it reflects on the Customer Portal. The customer will get the outcome after adding DD, like shown below - This ""pending"" icon shows that the DD is added in the account, but it will take some time to get reflected and activated in Myregus. Instructions To check the effective date when the DD should be activated, please follow the below steps - 1) Go to Titan and search for the Company ID. 2) Open the account of the customer who is facing this issue. 3) Go to Financial Data tab, and scroll to the bottom of the page. 4) You will be able to see "" Pending Payment Method Change "" under Invoice terms. 5) The effective date which is mentioned in that field, will be the date when it will be activated on Customer Portal. 6) If the DD is still not visible after the effective date is gone, raise ticket to L2-Portal Support Additional Information <Add links to more re",
KB0022502,Customer Portal Invoice not found Issues,L1,Customer Portal (MyRegus),[Invoicing] Invoices not found on My Regus,High,"Customer Portal Invoice not found Issues Issue - When a client is logging in to their account, there might be several cases where they won't be able to see the invoices on their &#34;Billings & Payments&#34; section. Sometimes a specific invoice might be missing, or there may be error pages displayed in that section. 3 Cases for Invoices Not Found - 1) Specific Invoice missing In this case, please advise the client to clear the date filters, and then search with the Invoice number, they will be able to see the invoice. If the invoice is not there, we need to check if the invoice is visible on Titan - Invoice Management page or not. If invoice is present in Titan but not in Myregus, raise MST with Titan Rejection reason visible for specific invoice on the Invoice Management page 2) Invoices - No results Found There might be some cases where the center team will raise an issue with the below screenshot (Always ask for full screenshot with visible CompanyId, make sure that company from description and screenshot match. In this case, kindly go to Invoice management page in Titan, and check if the invoices have been generated for this customer or not. If there are no invoices please ask",
KB0032851,How to Contact the Reinstatements Team,Customer Support,Accounts & Companies,,Unmapped,"How to Contact the Reinstatements Team Summary This guide explains how Centre Teams can contact the Reinstatements Team when account reinstatement support is required. Purpose To help Centre Teams quickly reach the correct team for customer account reinstatement queries using either the Teamhub portal or email. 1. Self-Help First Ensure the issue relates to account reinstatement (e.g., suspended or blocked customer accounts). Check if a reinstatement request has already been submitted. Gather relevant account information before raising the request. 2. How to Raise a Ticket Teamhub Option: Navigate to: Home > All Catalogs > IWG One Helpdesk > Customer Operations Portal: Customer Operations - Service Portal Email Option: Send an email to: Reinstatements@iwgplc.com 3. What You Can Request Reinstatement of suspended or blocked customer accounts Clarification on reinstatement eligibility and next steps 5. After You Submit The Reinstatements Team will process your request and contact you if further information is needed. No duplicate submissions are necessary during processing.",
